tax_id,Org_name-new_name,Org_name,GeneID,CurrentID,Status,Symbol,Symbol CAPS,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM,Column1
175836,K,Buceros rhinoceros silvestris,104498752,0,live,HMMR,hmmr,N320_09590,hyaluronan mediated motility receptor,LOW QUALITY PROTEIN: hyaluronan mediated motility receptor,,Un,,,,,,,
9031,J,Gallus gallus,396287,0,live,HMOX1,hmox1,HO-1,heme oxygenase 1,heme oxygenase 1|heme oxygenase (decycling) 1,,1,NC_006088.5,52103885,52109345,minus,5,,
9031,J,Gallus gallus,395863,0,live,HPGDS,hpgds,"H-PGDS, PGDS",hematopoietic prostaglandin D synthase,hematopoietic prostaglandin D synthase|GST class-sigma|glutathione S-transferase|glutathione-dependent PGD synthase|glutathione-dependent PGD synthetase|glutathione-requiring prostaglandin D synthase|prostaglandin-D synthase|prostaglandin-H2 D-isomerase,,4,NC_006091.5,37171060,37196399,minus,6,,
9031,J,Gallus gallus,395653,0,live,HPRT1,hprt1,HPRT,hypoxanthine phosphoribosyltransferase 1,hypoxanthine-guanine phosphoribosyltransferase|HGPRT|HGPRTase|hypoxanthine guanine phosphoribosyl transferase|hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome),,4,NC_006091.5,4025994,4041861,plus,9,,
9031,J,Gallus gallus,396229,0,live,HRAS,hras,"H-RAS1, HRAS","HRas proto-oncogene, GTPase",GTPase HRas|H-Ras-1|Harvey rat sarcoma viral oncogene homolog|c-H-ras|p21ras|transforming protein p21|v-Ha-ras Harvey rat sarcoma viral oncogene homolog|v-Ha-ras Harvey rat sarcoma viral oncogene-like protein,,5,NC_006092.5,16242807,16252401,plus,5,,
9031,J,Gallus gallus,395140,0,live,HS2ST1,hs2st1,CHS2ST,heparan sulfate 2-O-sulfotransferase 1,heparan sulfate 2-O-sulfotransferase 1,,8,NC_006095.5,16227040,16296312,minus,7,,
9031,J,Gallus gallus,421724,0,live,HSF2,hsf2,"HSF3B, HSTF3B",heat shock transcription factor 2,heat shock factor protein 2|HSF 2|HSF 3B|HSTF 2|HSTF 3B,,3,NC_006090.5,61387823,61409039,minus,13,,
9031,J,Gallus gallus,422169,0,live,HSF3,hsf3,"HSF 3, HSF 3C, HSF1, HSTF 3, HSTF 3C",Heat shock factor protein 3,heat shock factor protein 3|heat shock transcription factor 1|heat shock transcription factor 3,,4,NC_006091.5,282366,297374,minus,14,,
9031,J,Gallus gallus,427540,0,live,HSF4,hsf4,"Hsf4b, cHSF4b",heat shock transcription factor 4,heat shock factor protein 4,,11,NC_006098.5,2460701,2475384,plus,13,,
9031,J,Gallus gallus,396188,0,live,HSP90AB1,hsp90ab1,HSPCB,heat shock protein 90 alpha family class B member 1,"heat shock cognate protein HSP 90-beta|heat shock 90kDa protein 1, beta|heat shock protein 90 beta|heat shock protein 90kDa alpha (cytosolic), class B member 1|hsp90 beta",,3,NC_006090.5,30393089,30399047,minus,13,,
9031,J,Gallus gallus,418469,0,live,HSPA13,hspa13,STCH,heat shock protein family A (Hsp70) member 13,"heat shock 70 kDa protein 13|heat shock protein 70kDa family, member 13|stress 70 protein chaperone, microsome-associated, 60kDa",,1,NC_006088.5,99458895,99466501,minus,5,,
9031,J,Gallus gallus,423504,0,live,HSPA2,hspa2,HSP70,heat shock 70kDa protein 2,heat shock 70 kDa protein|dnaK-type molecular chaperone|heat shock protein 70,,5,NC_006092.5,53058059,53060378,minus,1,,
8839,K,Anas platyrhynchos,101798984,0,live,HSPA4L,hspa4l,"Anapl_04725, SLC25A31",heat shock protein family A (Hsp70) member 4 like,"heat shock 70 kDa protein 4L|Heat shock 70 kDa protein 4L|solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 31",,4,NC_040049.1,40971739,40998212,minus,19,,
9031,J,Gallus gallus,396487,0,live,HSPA5,hspa5,GRP78,"heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)",endoplasmic reticulum chaperone BiP|78 kDa glucose-regulated protein|GRP-78|HSP70 family protein 5|biP|binding-immunoglobulin protein|heat shock 70 kDa protein 5|heat shock protein 70 family protein 5|heat shock protein family A member 5|immunoglobulin heavy chain-binding protein,,17,NC_006104.5,9890854,9894906,minus,9,,
28377,A,Anolis carolinensis,100556293,0,live,hspa9,hspa9,,heat shock protein family A (Hsp70) member 9,"stress-70 protein, mitochondrial|heat shock 70kDa protein 9 (mortalin)",,1,NC_014776.1,131018254,131036997,minus,17,,
103695,B,Pogona vitticeps,110085158,0,live,HSPB1,hspb1,,heat shock protein family B (small) member 1,heat shock protein beta-1,,Un,,,,,,,
9031,J,Gallus gallus,414136,0,live,HSPB2,hspb2,mkbp,heat shock protein family B (small) member 2,heat shock protein beta-2|heat shock 27kDa protein 2|small heat shock protein B2,,24,NC_006111.5,6238971,6244063,minus,3,,
28377,A,Anolis carolinensis,100557867,0,live,hspb3,hspb3,,heat shock protein family B (small) member 3,heat shock protein beta-3|heat shock 27kDa protein 3,,2,NC_014777.1,2907066,2910380,minus,1,,
28377,A,Anolis carolinensis,100556405,0,live,hspb6,hspb6,,heat shock protein family B (small) member 6,"heat shock protein beta-6|heat shock protein, alpha-crystallin-related, B6",,Un,,,,,,,
8469,H,Chelonia mydas,102942714,0,live,HSPB8,hspb8,,heat shock protein family B (small) member 8,LOW QUALITY PROTEIN: heat shock protein beta-8,,Un,,,,,,,
9031,J,Gallus gallus,428310,0,live,HSPB9,hspb9,HSP25,heat shock protein family B (small) member 9,heat shock protein beta-9|heat shock protein 25,,27,NC_006114.5,7654562,7655554,plus,1,,
59729,K,Taeniopygia guttata,100219938,0,live,HTT,htt,,huntingtin,"huntingtin|solute carrier family 6 (neurotransmitter transporter, serotonin), member 4",,4,NC_045002.1,9162896,9240182,plus,68,,
176946,G,Python bivittatus,103058107,0,live,HYKK,hykk,,hydroxylysine kinase,hydroxylysine kinase,,Un,,,,,,,
9031,J,Gallus gallus,396054,0,live,IFNG,ifng,,interferon gamma,interferon gamma|IFN-gamma|Interferon-gamma level|interferon-gama,1 248.1 cM,1,NC_006088.5,35173604,35177751,minus,4,,
9031,J,Gallus gallus,770778,0,live,IFNL3A,ifnl3a,"IFNL, IFNL3, IL-28B, IL28B",interferon lambda-3 A,"interferon lambda-3|IFN-lambda-3|interferon, lambda 3|interleukin 28|interleukin 28B (interferon, lambda 3)|interleukin-28B",,7,NC_006094.5,4610682,4612191,plus,5,,
9031,J,Gallus gallus,554219,0,live,IFNW1,ifnw1,"IFN-beta, IFNB, IFN_B",interferon omega 1,"interferon type B|interferon, beta 1, fibroblast|interferon-beta",,Z,NC_006127.5,7372029,7372640,plus,1,,
9031,J,Gallus gallus,418090,0,live,IGF1,igf1,"IGF-1, IGF-I",insulin like growth factor 1,insulin-like growth factor I|insulin-like growth factor 1 (somatomedin C)|somatomedin,,1,NC_006088.5,55281097,55329525,plus,4,,
9031,J,Gallus gallus,395953,0,live,IGF2BP1,igf2bp1,ZBP1,insulin like growth factor 2 mRNA binding protein 1,insulin-like growth factor 2 mRNA-binding protein 1|IGF-II mRNA-binding protein 1|IGF2 mRNA-binding protein 1|IMP-1|VICKZ family member 1|ZBP-1|zip code-binding protein 1|zip-code binding polypeptide|zipcode-binding protein 1,,27,NC_006114.5,6056993,6081137,minus,15,,
9031,J,Gallus gallus,420617,0,live,IGF2BP3,igf2bp3,,insulin like growth factor 2 mRNA binding protein 3,insulin-like growth factor 2 mRNA-binding protein 3|IGF-II mRNA-binding protein 3|IGF2 mRNA-binding protein 3|IMP-3|VICKZ family member 3,,2,NC_006089.5,31154362,31261778,minus,17,,
9031,J,Gallus gallus,395337,0,live,IL6,il6,"CHIL-6, IL-6, interleukin-6",interleukin 6,"interleukin-6|interleukin 6 (interferon, beta 2)",,2,NC_006089.5,30862822,30873241,plus,3,,
381198,K,Anser cygnoides domesticus,106049442,0,live,ILVBL,ilvbl,,ilvB acetolactate synthase like,acetolactate synthase-like protein,,Un,,,,,,,
146911,C,Gekko japonicus,107125374,0,live,IMP3,imp3,,IMP U3 small nucleolar ribonucleoprotein 3,"U3 small nucleolar ribonucleoprotein protein IMP3|IMP3, U3 small nucleolar ribonucleoprotein",,Un,,,,,,,
9031,J,Gallus gallus,396145,0,live,INS,ins,,insulin,insulin|insulin 2,,5,NC_006092.5,13936697,13950122,plus,2,,
9031,J,Gallus gallus,420442,0,live,INSIG1,insig1,,insulin induced gene 1,insulin-induced gene 1 protein|INSIG-1,,2,NC_006089.5,7910231,7918978,plus,5,,
9031,J,Gallus gallus,427490,0,live,IREB2,ireb2,,iron responsive element binding protein 2,iron-responsive element-binding protein 2|IRE-BP 2,,10,NC_006097.5,4111782,4133567,minus,22,,
9031,J,Gallus gallus,423421,0,live,ITPK1,itpk1,,inositol-tetrakisphosphate 1-kinase,"inositol-tetrakisphosphate 1-kinase|inositol 1,3,4-triphosphate 5/6 kinase|inositol 1,3,4-trisphosphate 5/6-kinase|inositol-triphosphate 5/6-kinase|ins(1,3,4)P(3) 5/6-kinase",,5,NC_006092.5,45096528,45230237,minus,11,,
94827,K,Tinamus guttatus,104579903,0,live,ITPRIP,itprip,N309_06841,"inositol 1,4,5-trisphosphate receptor interacting protein","inositol 1,4,5-trisphosphate receptor-interacting protein|Inositol 1,4,5-trisphosphate receptor-interacting protein",,Un,,,,,,,
9031,J,Gallus gallus,424673,0,live,JUN,jun,,"Jun proto-oncogene, AP-1 transcription factor subunit",transcription factor AP-1|jun oncogene|proto-oncogene c-jun|v-jun sarcoma virus 17 oncogene,,8,NC_006095.5,26714120,26715827,minus,1,,
9031,J,Gallus gallus,107055370,0,live,JUND,jund,,"JunD proto-oncogene, AP-1 transcription factor subunit",transcription factor jun-D|Transcription factor jun-D|jun D proto-oncogene,,28,NC_006115.5,4074009,4079212,plus,2,,
9031,J,Gallus gallus,396300,0,live,KBP,kbp,,kainate binding protein,probable glutamate receptor,,21,NC_006108.5,1456666,1471680,minus,12,,
28377,A,Anolis carolinensis,100561661,0,live,kcmf1,kcmf1,,potassium channel modulatory factor 1,E3 ubiquitin-protein ligase KCMF1,,Un,,,,,,,
9031,J,Gallus gallus,414871,0,live,KCNH6,kcnh6,erg,potassium voltage-gated channel subfamily H member 6,"potassium voltage-gated channel subfamily H member 6|HERG protein|eag-related protein|ether-a-go-go-related gene potassium channel|ether-a-go-go-related protein|potassium voltage-gated channel, subfamily H (eag-related), member 6|voltage-gated potassium channel subunit Kv11.2",,27,NC_006114.5,5090432,5118510,plus,16,,
28377,A,Anolis carolinensis,100558649,0,live,kcnk1,kcnk1,,potassium two pore domain channel subfamily K member 1,"potassium channel subfamily K member 1|potassium channel, subfamily K, member 1",,1,NC_014776.1,220519467,220546008,minus,3,,
28377,A,Anolis carolinensis,100564560,0,live,kcnk10,kcnk10,,potassium two pore domain channel subfamily K member 10,"potassium channel subfamily K member 10|potassium channel, subfamily K, member 10",,1,NC_014776.1,13794718,13886457,plus,7,,
28377,A,Anolis carolinensis,100562204,0,live,kcnk12,kcnk12,,potassium two pore domain channel subfamily K member 12,"potassium channel subfamily K member 12|potassium channel, subfamily K, member 12",,1,NC_014776.1,254921210,254994132,minus,4,,
28377,A,Anolis carolinensis,100562988,0,live,kcnk13,kcnk13,,potassium two pore domain channel subfamily K member 13,"potassium channel subfamily K member 13|potassium channel, subfamily K, member 13",,1,NC_014776.1,12714362,12779432,minus,2,,
28377,A,Anolis carolinensis,100561565,0,live,kcnk15,kcnk15,,potassium two pore domain channel subfamily K member 15,"potassium channel subfamily K member 15|potassium channel, subfamily K, member 15",,4,NC_014779.1,143831475,143841272,minus,3,,
103695,B,Pogona vitticeps,110074669,0,live,KCNK16,kcnk16,,potassium two pore domain channel subfamily K member 16,potassium channel subfamily K member 16,,Un,,,,,,,
28377,A,Anolis carolinensis,100564501,0,live,kcnk17,kcnk17,,potassium two pore domain channel subfamily K member 17,"potassium channel subfamily K member 17|potassium channel, subfamily K, member 17",,1,NC_014776.1,246638056,246673907,minus,5,,
103695,B,Pogona vitticeps,110072003,0,live,KCNK18,kcnk18,,potassium two pore domain channel subfamily K member 18,potassium channel subfamily K member 18,,Un,,,,,,,
28377,A,Anolis carolinensis,100558061,0,live,kcnk2,kcnk2,,potassium two pore domain channel subfamily K member 2,"potassium channel subfamily K member 2|potassium channel, subfamily K, member 2",,1,NC_014776.1,240209529,240388640,plus,8,,
28377,A,Anolis carolinensis,100567751,0,live,kcnk3,kcnk3,,potassium two pore domain channel subfamily K member 3,"potassium channel subfamily K member 3|potassium channel, subfamily K, member 3",,Un,,,,,,,
103695,B,Pogona vitticeps,110083354,0,live,KCNK4,kcnk4,,potassium two pore domain channel subfamily K member 4,potassium channel subfamily K member 4,,Un,,,,,,,
28377,A,Anolis carolinensis,100564305,0,live,kcnk5,kcnk5,,potassium two pore domain channel subfamily K member 5,"potassium channel subfamily K member 5|potassium channel, subfamily K, member 5",,1,NC_014776.1,246496960,246533238,minus,5,,
146911,C,Gekko japonicus,107107368,0,live,KCNK6,kcnk6,,potassium two pore domain channel subfamily K member 6,potassium channel subfamily K member 6,,Un,,,,,,,
103695,B,Pogona vitticeps,110089964,0,live,KCNK7,kcnk7,,potassium two pore domain channel subfamily K member 7,potassium channel subfamily K member 7,,Un,,,,,,,
28377,A,Anolis carolinensis,100555658,0,live,kcnk9,kcnk9,,potassium two pore domain channel subfamily K member 9,"potassium channel subfamily K member 9|potassium channel, subfamily K, member 9",,4,NC_014779.1,16040918,16128680,plus,2,,
9172,K,Sturnus vulgaris,106863425,0,live,KHDRBS2,khdrbs2,,"KH RNA binding domain containing, signal transduction associated 2","KH domain-containing, RNA-binding, signal transduction-associated protein 2",,Un,,,,,,,
57397,K,Apaloderma vittatum,104267312,0,live,KHDRBS3,khdrbs3,N311_12750,"KH RNA binding domain containing, signal transduction associated 3","KH domain-containing, RNA-binding, signal transduction-associated protein 3",,Un,,,,,,,
9031,J,Gallus gallus,374140,0,live,KHSRP,khsrp,,KH-type splicing regulatory protein,far upstream element-binding protein 2|FUSE-binding protein 2|KH-type splicing regulatory protein (FUSE binding protein 2)|KSRP|zipcode-binding protein 2,,,,,,,,,
8932,K,Columba livia,102092692,0,live,KIAA1671,kiaa1671,A306_04428,KIAA1671 ortholog,uncharacterized protein KIAA1671 homolog|Putative protein KIAA1671 like protein,,Un,,,,,,,
9031,J,Gallus gallus,378783,0,live,KIT,kit,SCFR,"KIT proto-oncogene, receptor tyrosine kinase",mast/stem cell growth factor receptor Kit|c-kit|proto-oncogene c-Kit|proto-oncogene tyrosine-protein kinase Kit|tyrosine-protein kinase Kit|v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog,,4,NC_006091.5,65269766,65321836,minus,22,,
9031,J,Gallus gallus,420148,0,live,KLF2,klf2,,Kruppel like factor 2,Krueppel-like factor 2|Kruppel-like factor 2 (lung),,28,NC_006115.5,4485518,4487126,minus,3,,
85066,K,Corvus brachyrhynchos,103619271,0,live,LAMA4,lama4,N302_02781,laminin subunit alpha 4,laminin subunit alpha-4|Laminin subunit alpha-4,,Un,,,,,,,
9031,J,Gallus gallus,419293,0,live,LBP,lbp,BPI,lipopolysaccharide binding protein,bactericidal permeability-increasing protein|bactericidal permeability increasing protein,,20,NC_006107.5,10341003,10348679,minus,15,,
9031,J,Gallus gallus,396136,0,live,LCAT,lcat,,lecithin-cholesterol acyltransferase,phosphatidylcholine-sterol acyltransferase|phospholipid-cholesterol acyltransferase,,11,NC_006098.5,1034932,1041302,minus,6,,
118200,K,Picoides pubescens,104299043,0,live,LCP2,lcp2,N307_12674,lymphocyte cytosolic protein 2,lymphocyte cytosolic protein 2,,Un,,,,,,,
9031,J,Gallus gallus,396221,0,live,LDHA,ldha,,lactate dehydrogenase A,L-lactate dehydrogenase A chain|LDH-A,,5,NC_006092.5,12754120,12760009,plus,8,,
9031,J,Gallus gallus,373997,0,live,LDHB,ldhb,,lactate dehydrogenase B,L-lactate dehydrogenase B chain,,1,NC_006088.5,67031006,67040698,plus,8,,
9031,J,Gallus gallus,373955,0,live,LEP,lep,OB,leptin,Obesity factor,,,,,,,,,
103944,G,Protobothrops mucrosquamatus,107286935,0,live,LGR4,lgr4,,leucine rich repeat containing G protein-coupled receptor 4,leucine-rich repeat-containing G-protein coupled receptor 4,,Un,,,,,,,
9031,J,Gallus gallus,396381,0,live,LHX1,lhx1,LIM-1,LIM homeobox 1,LIM/homeobox protein Lhx1|LIM homeobox protein 1|domesticus (clone 2.3 kB) lim-1|homeobox protein Lim-1,,19,NC_006106.5,8536207,8540685,plus,5,,
9031,J,Gallus gallus,373922,0,live,LIMK1,limk1,,LIM domain kinase 1,LIM domain kinase 1|LIMK-1|chLIMK1,,19,NC_006106.5,963194,972046,plus,17,,
9031,J,Gallus gallus,428206,0,live,LIN28A,lin28a,LIN28,lin-28 homolog A,protein lin-28 homolog A|Lin-28.1|lin-28A,,23,NC_006110.5,283621,297445,minus,5,,
146911,C,Gekko japonicus,107107517,0,live,LIPC,lipc,,"lipase C, hepatic type",hepatic triacylglycerol lipase,,Un,,,,,,,
28377,A,Anolis carolinensis,100555250,0,live,lipg,lipg,,"lipase G, endothelial type","endothelial lipase|lipase, endothelial",,2,NC_014777.1,115592,141798,minus,10,,
8479,H,Chrysemys picta,101946556,0,live,LIPH,liph,,lipase H,lipase member H,,Un,,,,,,,
103695,B,Pogona vitticeps,110074818,0,live,LIPI,lipi,,lipase I,lipase member I,,Un,,,,,,,
28377,A,Anolis carolinensis,100556298,0,live,lpl,lpl,,lipoprotein lipase,LOW QUALITY PROTEIN: lipoprotein lipase,,2,NC_014777.1,75015598,75051948,minus,10,,
9031,J,Gallus gallus,429148,0,live,LPP,lpp,,LIM domain containing preferred translocation partner in lipoma,lipoma-preferred partner homolog,,9,NC_006096.5,14494945,14805032,minus,20,,
8479,H,Chrysemys picta,101950011,0,live,LRRC6,lrrc6,,leucine rich repeat containing 6,protein tilB homolog,,Un,,,,,,,
28377,A,Anolis carolinensis,100551914,0,live,ltv1,ltv1,,LTV1 ribosome biogenesis factor,protein LTV1 homolog,,1,NC_014776.1,206046508,206055184,plus,11,,
9031,J,Gallus gallus,395708,0,live,LYG2,lyg2,LYG1,lysozyme g2,"lysozyme g|1,4-beta-N-acetylmuramidase|goose-type lysozyme|lysozyme G-like 1|lysozyme G-like 2",,1,NC_006088.5,133828098,133831585,minus,6,,
59894,K,Ficedula albicollis,101819052,0,live,LYSMD4,lysmd4,,LysM domain containing 4,"lysM and putative peptidoglycan-binding domain-containing protein 4|LysM, putative peptidoglycan-binding, domain containing 4",,10,NC_021682.1,5522654,5527920,plus,3,,
9031,J,Gallus gallus,396218,0,live,LYZ,lyz,LYZC,lysozyme (renal amyloidosis),"lysozyme C|1,4-beta-N-acetylmuramidase C|4-beta-N-acetylmuramidase C|allergen Gal d IV|dystrophin|egg white lysozyme",,1,NC_006088.5,35542896,35546583,plus,4,,
9031,J,Gallus gallus,427953,0,live,MAATS1,maats1,"AAT-1, AAT1-alpha, AAT13orf15aM-IP2PATA26AT1alpha, C1H3ORF15, C3orf15",MYCBP associated and testis expressed 1,"cilia- and flagella-associated protein 91|AMY-1-associating protein expressed in testis 1|MYCBP-associated, testis expressed 1|MYCBP-binding protein|MYCBP/AMY-1-associated testis-expressed protein 1|MYCBP/AMY-1-associated, testis expressed 1|protein MAATS1|spermatogenesis associated 26",,1,NC_006088.5,80895270,80927971,minus,20,,
93934,K,Coturnix japonica,107321628,0,live,MAN1B1,man1b1,,mannosidase alpha class 1B member 1,"endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",,17,NC_029532.1,41808,54972,minus,13,,
38654,I,Alligator sinensis,102375976,0,live,MAP7,map7,,microtubule associated protein 7,ensconsin,,Un,,,,,,,
9031,J,Gallus gallus,422592,0,live,MAPK10,mapk10,,mitogen-activated protein kinase 10,mitogen-activated protein kinase 10,,4,NC_006091.5,45932534,46041741,minus,16,,
9031,J,Gallus gallus,395983,0,live,MAPK9,mapk9,JNK2-ALPHA1,mitogen-activated protein kinase 9,mitogen-activated protein kinase 9|MAP kinase 9|MAPK 9|c-JUN amino-terminal kinase-2 alpha1|c-Jun N-terminal kinase 2|stress-activated protein kinase JNK2,,13,NC_006100.5,14645030,14665143,plus,12,,
103695,B,Pogona vitticeps,110082952,0,live,MAPKAP1,mapkap1,,MAPK associated protein 1,target of rapamycin complex 2 subunit MAPKAP1|mitogen-activated protein kinase associated protein 1,,Un,,,,,,,
9031,J,Gallus gallus,427562,0,live,MC1R,mc1r,,melanocortin 1 receptor,melanocyte-stimulating hormone receptor|MC1-R|MSH-R|melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)|melanocortin receptor 1|mutant melanocortin 1 receptor,,11,NC_006098.5,18840646,18841590,plus,1,,
381198,K,Anser cygnoides domesticus,106038116,0,live,MCM3,mcm3,,minichromosome maintenance complex component 3,DNA replication licensing factor MCM3,,Un,,,,,,,
9031,J,Gallus gallus,101749776,0,live,MCRIP1,mcrip1,FAM195B,MAPK regulated corepressor interacting protein 1,mapk-regulated corepressor-interacting protein 1|Protein FAM195B|family with sequence similarity 195 member B,,18,NC_006105.5,9910288,9913147,minus,5,,
9031,J,Gallus gallus,421281,0,live,MDH1,mdh1,,malate dehydrogenase 1,"malate dehydrogenase, cytoplasmic|malate dehydrogenase, peroxisomal|cytosolic malate dehydrogenase|malate dehydrogenase 1, NAD (soluble)|malate dehydrogenase, cytoplasmic; malate dehydrogenase, peroxisomal",,3,NC_006090.5,10132110,10143027,plus,9,,
103695,B,Pogona vitticeps,110086760,0,live,MEGF8,megf8,,multiple EGF like domains 8,LOW QUALITY PROTEIN: multiple epidermal growth factor-like domains protein 8,,Un,,,,,,,
9031,J,Gallus gallus,769710,0,live,MFSD7,mfsd7,SLC49A3,major facilitator superfamily domain containing 7,major facilitator superfamily domain-containing protein 7|solute carrier family 49 member A3|solute carrier family 49 member 3,,Z,NC_006127.5,52791326,52811257,plus,11,,
9031,J,Gallus gallus,100857237,0,live,MIF,mif,,macrophage migration inhibitory factor (glycosylation-inhibiting factor),macrophage migration inhibitory factor|L-dopachrome isomerase|L-dopachrome tautomerase|Phenylpyruvate tautomerase,,15,NC_006102.5,8375207,8377043,plus,3,,
13735,H,Pelodiscus sinensis,102463580,0,live,MIP,mip,,major intrinsic protein of lens fiber,lens fiber major intrinsic protein,,Un,,,,,,,
9031,J,Gallus gallus,777853,0,live,MIR141,mir141,"MIR200A, MIRN200A, gga-mir-200a, mir-200a",microRNA 141,microRNA 200a|microRNA mir-200a,,21,NC_006108.5,2601069,2601155,minus,1,,
9031,J,Gallus gallus,424597,0,live,MMACHC,mmachc,CblC,"methylmalonic aciduria (cobalamin deficiency) cblC type, with homocystinuria",methylmalonic aciduria and homocystinuria type C protein homolog|cyanocobalamin reductase (cyanide-eliminating),,8,NC_006095.5,21490171,21495849,plus,4,,
9031,J,Gallus gallus,424311,0,live,MMADHC,mmadhc,"C2orf25, CblD","methylmalonic aciduria and homocystinuria, cblD type","methylmalonic aciduria and homocystinuria type D homolog, mitochondrial|methylmalonic aciduria (cobalamin deficiency) cblD type, with homocystinuria",,7,NC_006094.5,34920828,34933478,minus,7,,
9031,J,Gallus gallus,386583,0,live,MMP2,mmp2,,matrix metallopeptidase 2,"72 kDa type IV collagenase|72 kDa gelatinase|MMP-2|gelatinase A|matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)|matrix metalloproteinase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)|matrix metalloproteinase-2",,11,NC_006098.5,3706910,3741617,minus,13,,
9031,J,Gallus gallus,395387,0,live,MMP9,mmp9,,matrix metallopeptidase 9,"matrix metalloproteinase-9|75 kDa gelatinase|matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)|matrix metalloproteinase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)",,20,NC_006107.5,10572564,10576650,plus,13,,
9031,J,Gallus gallus,428910,0,live,MOK,mok,RAGE,MOK protein kinase,MAPK/MAK/MRK overlapping kinase|renal tumor antigen,,5,NC_006092.5,49747873,49768260,minus,13,,
9031,J,Gallus gallus,419872,0,live,MOV10,mov10,,Mov10 RISC complex RNA helicase,"putative helicase MOV-10|Mov10, Moloney leukemia virus 10, homolog",,26,NC_006113.5,3544880,3550993,plus,22,,
103944,G,Protobothrops mucrosquamatus,107297778,0,live,MPND,mpnd,,MPN domain containing,MPN domain-containing protein,,Un,,,,,,,
9031,J,Gallus gallus,416540,0,live,MSRB1,msrb1,SEPX1,methionine sulfoxide reductase B1,"methionine-R-sulfoxide reductase B1|selenoprotein X, 1",,14,NC_006101.5,6507434,6520157,minus,5,,
9031,J,Gallus gallus,373964,0,live,MSTN,mstn,"GDF-8, GDF8",myostatin,growth/differentiation factor 8,,7,NC_006094.5,252348,257840,plus,3,,
9031,J,Gallus gallus,426126,0,live,MTHFD2,mthfd2,,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase","bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",,22,NC_006109.5,3867419,3873933,plus,8,,
9031,J,Gallus gallus,395702,0,live,MTPN,mtpn,,myotrophin,myotrophin|V1 protein homologue|granule cell differentiation protein|protein V-1,,1,NC_006088.5,58205713,58243481,plus,4,,
146911,C,Gekko japonicus,107113572,0,live,MTRES1,mtres1,,mitochondrial transcription rescue factor 1,uncharacterized protein C6orf203 homolog,,Un,,,,,,,
9031,J,Gallus gallus,423101,0,live,MUC2,muc2,"MUC5AC, mucin","mucin 2, oligomeric mucus/gel-forming","mucin-2|mucin 2, intestinal/tracheal|mucin 5AC, oligomeric mucus/gel-forming",,5,NC_006092.5,15122111,15213934,minus,61,,
9031,J,Gallus gallus,396469,0,live,MYH9,myh9,"NMMHC, myosin, non-muscle, nonmuscle","myosin, heavy chain 9, non-muscle","myosin-9|NMMHC II-a|NMMHC-A|NMMHC-IIA|cellular myosin heavy chain, type A|heavy polypeptide 9|myosin heavy chain 9|myosin heavy chain, non-muscle IIa|myosin heavy chain, nonmuscle|myosin, heavy polypeptide 9, non-muscle|non-muscle IIa|non-muscle myosin heavy chain A|non-muscle myosin heavy chain IIa|type A",,1,NC_006088.5,51734199,51820934,plus,43,,
9031,J,Gallus gallus,396215,0,live,MYL9,myl9,"DTNB, G1, MLC-2, MLC2","myosin, light chain 9, regulatory","myosin regulatory light chain 2, smooth muscle major isoform|isoform L20-A|light polypeptide 9|myosin light chain 2|myosin regulatory light polypeptide 9|myosin, light polypeptide 9, regulatory|smooth muscle major isoform",,20,NC_006107.5,485849,492638,minus,5,,
9031,J,Gallus gallus,396445,0,live,MYLK,mylk,MLCK,myosin light chain kinase,"myosin light chain kinase, smooth muscle|kinase related protein|myosin, light polypeptide kinase|smooth muscle myosin light chain kinase (61-kDa active fragment)|telokin",,7,NC_006094.5,27172896,27356465,minus,33,,
9031,J,Gallus gallus,374004,0,live,MYOG,myog,,myogenin,myogenin|myogenic factor|myogenin (myogenic factor 4),,26,NC_006113.5,978389,981790,minus,3,,
198806,K,Calidris pugnax,106888134,0,live,N4BP1,n4bp1,,NEDD4 binding protein 1,NEDD4-binding protein 1,,Un,,,,,,,
9031,J,Gallus gallus,396547,0,live,NAGA,naga,,alpha-N-acetylgalactosaminidase,"alpha-N-acetylgalactosaminidase|N-acetylgalactosaminidase, alpha-|alpha-galactosidase B",,1,NC_006088.5,49428093,49432399,plus,8,,
