From	To
Q9UGU5	HMGXB4
Q7ZXY0	isyna1-a
A4K2U9	YWHAB
Q5ZLQ6	YWHAB
P16527	MARCKS
Q5ZMP7	AP3M1
Q9CPX6	Atg3
A7MB80	GTF2I
P41541	USO1
Q8MJ49	OSTF1
Q5ZI49	PRPS2
P09330	Prps2
Q969G3	SMARCE1
O95721	SNAP29
Q5R5K4	SNAP29
Q32PA9	FKBP2
P79784	ENTPD2
P49247	RPIA
Q96J42	TXNDC15
Q5F448	GPR89
Q8IWW6	ARHGAP12
Q9BE31	ARHGAP12
Q68EL6	nfil3
P15882	CHN1
Q504L8	mafb
P54846	Nrl
Q80WN8	B4GALT3
Q9UMS0	NFU1
Q9HD45	TM9SF3
Q9UFP1	GASK1A
Q5E9L6	STK4
O08914	Faah
O43772	SLC25A20
Q8K2C8	Gpat4
Q8N7W2	BEND7
O43731	KDELR3
Q5R4R4	LSM14A
Q9BRN9	TM2D3
P30044	PRDX5
Q5RCS0	ATG9A
P25325	MPST
Q8CHN6	Sgpl1
Q07837	SLC3A1
Q4PZA2	Ece1
Q91V92	Acly
Q9TT13	VDAC3
O75150	RNF40
O76094	SRP72
Q8BGY5	Tmem140
P59024	Fkbp14
Q95221	IP6K2
P0CAP2	POLR2M
P50555	TNFRSF1A
Q8R0H9	Gga1
P15693	Alpi
P51572	BCAP31
Q5R8H3	BCAP31
P49759	CLK1
Q86X29	LSR
Q5ZIK0	PI4K2B
Q5ZKI0	CAMK2D
Q17QN2	TOE1
Q8NCJ5	SPRYD3
Q5RBR6	SPRYD3
Q3ZCC8	TPPP3
P15650	Acadl
O75578	ITGA10
O77808	AVPR2
Q6UW02	CYP20A1
Q90952	PON2
Q16222	UAP1
Q6JHU7	P3H2
D3ZH22	Slc50a1
Q9H9H4	VPS37B
Q8R3L2	Tcf25
Q9H892	TTC12
Q9BVP2	GNL3
Q14258	TRIM25
P00428	COX5B
H9GBX2	SCNN1A
Q0MQ82	NDUFAF1
Q6DV01	syf2
Q8VEM8	Slc25a3
Q5R8Y6	TM9SF2
Q5ZJ73	CREG1
P10632	CYP2C8
P00178	CYP2B4
Q28C74	lrpprc
O35710	Noct
Q9ET55	Noct
O75533	SF3B1
Q99NB9	Sf3b1
P61759	Vbp1
Q5RCG9	VBP1
P70202	Lxn
Q8IWJ2	GCC2
Q9UGV2	NDRG3
Q5ZMB7	PNRC2
P56982	TMEM14A
Q7KYR7	BTN2A1
P17706	PTPN2
P14222	PRF1
Q5H7C0	CDC20
P12270	TPR
Q9Y478	PRKAB1
Q14318	FKBP8
O35465	Fkbp8
Q5ZLL8	GPAT3
Q5ZHX7	CYB5R2
Q5PQA4	cyb5r2
P21956	Mfge8
P70490	Mfge8
Q4AEH5	GPX3
Q8BGP5	Tmem127
Q13283	G3BP1
Q5RB87	G3BP1
Q3V1L4	Nt5c2
P83732	Rpl24
P00423	COX4I1
P62870	Elob
Q8WV35	LRRC29
Q8BH16	Fbxl2
Q9HB71	CACYBP
Q3T168	CACYBP
Q5F384	YIPF3
Q5E9W3	DHODH
Q9UL63	MKLN1
O00142	TK2
Q9Y673	ALG5
Q4KM74	Sec22b
Q5ZJW4	SEC22B
Q14974	KPNB1
Q9Y5X2	SNX8
Q12893	TMEM115
P07919	UQCRH
A6QR06	TADA1
Q15125	EBP
Q5ZIL4	STRBP
Q6DFH9	nip7
Q8WW62	TMED6
Q8QZY6	Tspan14
Q5E9P6	BSCL2
Q86V24	ADIPOR2
Q8NHQ8	RASSF8
Q9Y2W1	THRAP3
Q5BJ39	thrap3
P49720	PSMB3
P0C872	Jmjd7
P0C870	JMJD7
O60478	GPR137B
P79099	AQP2
P07660	CALCA
Q5ZML3	SRSF1
Q9QYJ3	Dnajb1
Q805F9	DDB1
P67937	TPM4
Q6IRU2	Tpm4
Q64458	Cyp2c29
O35293	Cyp2f2
O18809	CYP2F3
P0C606	Sgf29
P49643	PRIM2
Q9BSE4	HERPUD2
A0AAS4	SGMS1
Q7YRQ8	TFPI2
Q91WV0	Dr1
Q5XI68	Dr1
Q5R546	ATP5F1A
P19483	ATP5F1A
Q9QWH1	Phc2
O60220	TIMM8A
Q9WVA1	Timm8a
O43734	TRAF3IP2
O43688	PLPP2
O60678	PRMT3
Q7YQM4	ATRX
Q9D7C9	Nmrk2
Q9NPI5	NMRK2
O32264	yvcT
Q62812	Myh9
O75971	SNAPC5
P26007	ITGA6
P31800	UQCRC1
P22314	UBA1
Q29504	UBA1
A3KMV5	UBA1
Q9JKL5	Tesc
Q60972	Rbbp4
Q6NT55	CYP4F22
Q5ZJF1	COPS3
Q8N2K1	UBE2J2
A2VDK9	VMA21
Q8CIV2	Tmem259
Q96S44	TP53RK
O08623	Sqstm1
Q5ZMD6	H2AFZ
P15800	Lamb2
B2RRL2	Jrkl
Q76KB2	HS6ST1
Q99LG1	Tmem51
Q9UJX5	ANAPC4
Q5ZLH4	TMEM230
P13255	Gnmt
Q8N1G4	LRRC47
Q5M8Z6	ass1
P00966	ASS1
Q86WA6	BPHL
P13602	tubb2
O75376	NCOR1
Q9NYV6	RRN3
Q7L775	EPM2AIP1
Q2KJC6	MAT1A
Q9NUQ8	ABCF3
O43933	PEX1
Q07973	CYP24A1
Q9JJV2	Pfn2
Q9BT17	MTG1
P48048	KCNJ1
Q6DUZ9	eipr1
Q3ZBN8	DNAJC19
Q9QXJ1	Apbb1
P46933	Apbb1
Q8CFA2	Amt
P28337	AMT
Q5ZKM1	FTSJ3
Q687X5	STEAP4
Q9Z2H5	Epb41l1
Q9NXH3	PPP1R14D
Q6DJ55	tbrg4
Q96BI3	APH1A
Q7L8J4	SH3BP5L
Q99LH9	Sh3bp5l
Q5R9X9	SH3BP5L
Q9QZ88	Vps29
Q3T0M0	VPS29
P13642	SARS1
Q5NVI3	IK
Q9QYW3	Mob4
P62878	Rbx1
Q99PP9	Trim16
P62275	Rps29
Q5ZL26	PRPSAP2
P49256	LMAN2
Q5ZIV9	SCIN
Q9Y6U3	SCIN
Q5R787	ARFGAP3
Q4R4C9	ARFGAP3
Q9NP61	ARFGAP3
Q8CFY5	Cox10
O62676	IL16
Q3UZ39	Lrrfip1
Q01406	CTTN1
P43307	SSR1
A6QLP7	SSR1
Q9D074	Mgrn1
Q9NYL5	CYP39A1
Q9JKJ9	Cyp39a1
Q5R5F2	COPZ1
P00367	GLUD1
P10860	Glud1
Q5ZJ08	YARS1
P80404	ABAT
Q6P9V9	Tuba1b
P68373	Tuba1c
P68370	Tuba1a
Q91955	MTPN
Q96GS4	BORCS6
P0C0T0	Litaf
Q90744	NAGA
Q6P255	med11
Q13630	TSTA3
Q8TBE9	NANP
Q9NQX5	NPDC1
Q9Y2P4	SLC27A6
Q5ZJQ3	LIN52
P97496	Smarcc1
Q5R6X7	CBX3
P40939	HADHA
Q80YT7	Pde4dip
Q13951	CBFB
Q08024	Cbfb
Q8QGH2	SUMO1
Q5S3G4	COX5B
P46783	RPS10
Q8BL95	Cfap298
P54313	Gnb2
Q5XHA2	kdelr1
Q8NFH5	NUP35
Q5RCT1	TPD52L2
P51661	Hsd11b2
Q71V39	EEF1A2
Q9UGM3	DMBT1
Q6DEB1	etnppl
Q5ZJ66	EARS2
Q3ZBL4	LZTFL1
P63074	Eif4e
Q27I66	TSC22D1
P10746	UROS
Q9CR95	Necap1
Q92979	EMG1
P13707	Gpd1
P21695	GPD1
O00567	NOP56
O43169	CYB5B
P84173	PHB
Q5ZJN2	RAB11A
P62494	Rab11a
Q4R5C3	ERGIC2
Q9CQF4	Mtres1
Q4R6P7	SESN1
Q5ZI25	TMEM129
Q5F3A4	RELL1
P47934	Crat
Q99LI7	Cstf3
Q3UG98	Nat9
Q60753	Ctf1
O43681	GET3
Q9Y2G5	POFUT2
Q63ZZ8	castor2
Q96T68	SETDB2
A7Z035	CLINT1
Q8WUB8	PHF10
Q2T9V9	PHF10
P15651	Acads
Q5RAS0	ACADS
Q9Y5U2	TSSC4
Q8VHC8	MAN2B1
O00754	MAN2B1
Q14DH7	Acss3
Q5ZJK8	CCT7
Q86U06	RBM23
Q8VCM3	Zfyve21
Q15398	DLGAP5
P41976	SOD2
P51912	Slc1a5
Q9WVA4	Tagln2
Q9GZN7	ROGDI
P58200	Vti1b
Q91554	arg2-b
Q5TID7	CCDC181
P09960	LTA4H
P53488	ACTR2
P61354	Rpl27
Q810F4	Fam3c
P26772	Hspe1
Q5R7A7	SGK3
Q9EPA7	Nmnat1
Q9BQ65	USB1
P53384	NUBP1
P24329	Tst
Q6P3S6	FBXO42
Q3SYU1	NOC2L
Q70KH2	GBA
Q8K194	Snrnp27
Q863G1	COX8A
P0DMQ6	SORD
A4FUZ6	HSDL2
Q5RA68	HSDL2
Q66KC4	hsdl2
Q6PAY8	hsdl2
Q9Z2V9	Ccni
Q8QZV0	Dedd2
Q9Z2K0	Dedd
A0A0B4J2D5	GATD3B
Q93099	HGD
Q5RF05	HGD
P67829	CSNK1A1
Q2WEN9	CEACAM16
Q9Y5U8	MPC1
Q3ZCG2	MPC1
Q13496	MTM1
P81999	DNAJB11
Q12874	SF3A3
Q9GKX6	GALM
Q0VC18	ARL4D
Q96AC1	FERMT2
P53367	ARFIP1
Q5ZKJ0	CLPTM1L
Q8IX12	CCAR1
Q58DW2	CTH
P18757	Cth
Q95212	TPD52
Q06496	Slc34a1
Q06495	SLC34A1
Q28620	SLC34A1
Q8BK64	Ahsa1
Q8TDD1	DDX54
P31321	PRKAR1B
Q9UKS6	PACSIN3
Q99JB8	Pacsin3
Q2A865	Slc6a19
Q9NVU7	SDAD1
A5D7C2	SDAD1
Q5XIQ5	Sdad1
Q91Y86	Mapk8
Q864Z2	RGS5
Q6NZW8	arl8ba
Q66HA6	Arl8b
Q3MID3	Arfgap2
Q5RAT7	ARFGAP2
Q7TQ94	Nit1
P62912	Rpl32
Q9UL12	SARDH
P29350	PTPN6
Q8R512	Ubxn11
Q9UEY8	ADD3
Q9NRY5	FAM114A2
P41500	ACYP1
P24049	Rpl17
Q86YI8	PHF13
Q28GF8	tmem205
Q6UXF1	TMEM108
Q8TDX7	NEK7
Q9QX82	Cd164
Q8NDH3	NPEPL1
P47941	Crkl
P17277	HOXA4
Q96RE9	ZNF300
Q5ZJI0	TPST2
O75746	SLC25A12
E1BUG7	SPTY2D1
P00017	CYC
P02721	ATP5PF
Q9P0M9	MRPL27
Q9CQT9	Rab5if
Q1G7G9	TALPID3
Q61545	Ewsr1
Q01844	EWSR1
P33267	Cyp2f2
Q8WNE1	CYP2F5
Q921L8	Galnt11
Q8NCW6	GALNT11
Q6DJR8	galnt11
Q5F489	TAF3
O13035	PSAP
Q5ZL72	HSPD1
P18687	HSPD1
P10809	HSPD1
Q99816	TSG101
P41263	RBP4
O14756	HSD17B6
Q9H3K2	GHITM
Q10728	Ppp1r12a
Q5RB02	CTSC
P53634	CTSC
Q9Z2V5	Hdac6
Q9UBN7	HDAC6
Q3TWI9	Tmem63b
Q9H7R5	ZNF665
Q6P3V2	ZNF585A
Q96GM5	SMARCD1
Q6NZC7	Sec23ip
Q5R5C3	FAM3A
Q8HXM1	CSTF2
Q5RFH9	ATP5PB
Q92982	NINJ1
Q8NHP8	PLBD2
Q5BJZ0	Castor1
P10587	MYH11
Q5R939	FAM204A
Q2TBU3	GOSR1
B1WC15	Zcchc7
Q2KIN0	ZCCHC7
Q9GZX3	CHST6
Q9QUP4	Chst5
P52272	HNRNPM
Q5RFF4	EIF1
H9D1R1	Txndc12
Q96JY6	PDLIM2
O88967	Yme1l1
O77821	LYPLA1
Q3MHR0	LYPLA1
Q53FZ2	ACSM3
Q3UNX5	Acsm3
Q4R5B0	ATP5F1C
Q5R585	BTBD10
P21868	CSNK2A1
Q4V838	ltv1
Q8VDF3	Dapk2
P11034	Mcpt1
Q3ZC33	GULO
Q6UWL2	SUSD1
Q6P9X4	Ptp4a2
P62250	Rps16
P35605	COPB2
Q8TE04	PANK1
Q9R0R1	Meltf
O97490	MELTF
P08582	MELTF
Q95J56	DNAJC14
Q6Y2X3	DNAJC14
Q9JKK1	Stx6
D4AEP3	Fam168b
Q86U38	NOP9
Q9UHD4	CIDEB
Q8BMC4	Nop9
P34056	Tfap2a
P05549	TFAP2A
Q9CQD4	Chmp1b2
Q5MNV6	SLC30A7
P49666	RPL21
Q9H0S4	DDX47
Q8N9U0	TC2N
Q5RCS9	UFSP2
A6NK44	GLOD5
P34743	BTG1
Q6TEK3	Vkorc1l1
Q5ZJJ8	UBLCP1
Q5R5X8	CAP2
P40123	CAP2
Q92117	TBP
Q3UFK8	Frmd8
P28687	SPC22
Q7T392	tmem179b
Q9BXL8	CDCA4
Q9CPV5	Pmf1
Q6P1K2	PMF1
Q86WV5	TEN1
Q9NQY0	BIN3
Q12882	DPYD
Q5R895	DPYD
Q28943	DPYD
P79774	AANAT
P04440	HLA-DPB1
P06341	RT1-B
G3XA57	Rab11fip2
O43325	LYRM1
Q969S3	ZNF622
Q9BQR3	PRSS27
Q5ZK03	SEC23A
Q9D662	Sec23b
P36972	Aprt
Q9NQZ5	STARD7
P41366	VMO1
Q9NPR2	SEMA4B
Q62179	Sema4b
Q5RDE9	LEPROTL1
A5D7C3	MPZL3
Q3TWL2	Pip4p1
O42479	FECH
P22600	FECH
Q14582	MXD4
Q6GLZ5	septin7
Q9WVC0	Septin7
Q5R481	SEPTIN7
Q6GLT8	fahd2
Q2KIB0	FAHD2
P22734	Comt
Q2KJC9	ALDH7A1
P08855	CAST
P20810	CAST
Q99959	PKP2
O35864	Cops5
O43895	XPNPEP2
Q6TCG8	Paqr3
Q6P036	slc25a33
Q3T0Q3	POLR2C
P82013	VDAC2
Q5ZMP6	AP2M1
Q5XIF6	Tuba4a
Q5PQ35	marchf2
Q1LVZ2	marchf2
Q0GNE0	CS
P23116	Eif3a
E9Q7G0	Numa1
Q9Y2B0	CNPY2
O70273	Ehf
B3EX21	ATP5PO
P19075	TSPAN8
Q4I1B1	VAC8
O79407	MT-CO3
Q96065	MT-CO3
Q9Y5Y5	PEX16
Q91V98	Cd248
Q99P72	Rtn4
Q9JK11	Rtn4
Q9NQC3	RTN4
Q9JM96	Cdc42ep4
Q9UBB5	MBD2
P46405	RPS12
Q99J36	Thumpd1
Q91W45	Paip2b
Q5ZKG5	ACP1
P11064	ACP1
Q9QZC8	Abhd1
Q96F10	SAT2
O97921	PTGDS
Q8TA86	RP9
Q5RJQ7	Sdhaf2
Q9UK97	FBXO9
A5GFZ5	DPM1
Q9Z260	Cldn8
Q2KJG1	SPATA6
Q5F389	WWOX
P27463	ALDH1A1
P51977	ALDH1A1
Q5ZIY4	SBDS
Q8K3X4	Irf2bpl
P68037	Ube2l3
P34943	NDUFA9
P00940	TPI1
Q9BY49	PECR
Q5RCH8	PECR
Q9WVK3	Pecr
Q99N50	Sytl2
Q9HCH5	SYTL2
Q8TB96	ITFG1
Q1LZB4	IFT46
Q99969	RARRES2
P00732	CPB1
P56695	Wfs1
P97379	G3bp2
Q5R9L3	G3BP2
Q5ZMN3	PHB2
O43242	PSMD3
P14685	Psmd3
A0PK00	TMEM120B
Q5ZIB9	PRMT7
Q5SZD4	GLYATL3
E9Q5L8	Glyatl3
Q13098	GPS1
Q99LD4	Gps1
Q9QYP6	Azi2
O15182	CETN3
Q9WUM3	Coro1b
Q9WTN5	Tpcn1
Q5RFK0	ETFB
P22694	PRKACB
O18882	ATP6V0C
P27449	ATP6V0C
Q99L04	Dhrs1
Q9Y6M4	CSNK1G3
P56101	dnajc5
Q5I0D1	Glod4
Q9HC38	GLOD4
Q5R7G9	NUAK2
Q9H093	NUAK2
Q4U3Q4	PPARG
O75674	TOM1L1
Q5F3K0	TTC27
P45380	Slc26a1
Q05744	CTSD
Q5R8Z8	RAB14
P47875	Csrp1
O75477	ERLIN1
Q8K2Y7	Mrpl47
Q99LE6	Abcf2
P56746	CLDN15
Q2KIY2	CLDN15
Q3ZBD2	ACTR10
P42696	RBM34
O15382	BCAT2
Q86Y07	VRK2
P31937	HIBADH
Q5RFJ1	ILF2
Q5ZLQ4	IREB2
Q9G2S5	mt-cyb
Q6P823	TGas113e22.1
Q9BSW2	CRACR2A
Q9NVX7	KBTBD4
Q8R179	Kbtbd4
Q6GVH4	GGNBP2
Q86YD3	TMEM25
Q9DCF1	Tmem25
Q9Y4Z0	LSM4
Q28296	MAL
Q6AY30	Sccpdh
Q5R5Z5	ARPC2
Q8JGM4	QSOX1
P53790	Slc5a1
Q12866	MERTK
Q9QXG4	Acss2
Q9HCD5	NCOA5
Q9Y6X5	ENPP4
Q96D21	RASD2
Q2L969	MTX2
P23825	GATA3
Q08DV0	GATA3
Q5E9C0	RSU1
P49757	NUMB
O88413	Tulp3
Q8CFV2	Fam149a
Q9H0X9	OSBPL5
Q99615	DNAJC7
P24505	P65-A
Q6AXT5	Rab21
Q5ZLY5	PLEKHF2
D4A4T9	Chordc1
Q90631	KTN1
Q9MYU8	EPB41L5
Q8JG30	SULT1B1
O95299	NDUFA10
Q5R8X5	ORMDL1
Q13438	OS9
Q3MHX6	OS9
Q96RS6	NUDCD1
Q5R9C3	GPBP1L1
Q3KR53	Gpbp1l1
Q5F3J5	PSME3
P51956	NEK3
Q86UW9	DTX2
O42204	ITM2B
Q99685	MGLL
A1A4P4	GADD45GIP1
B1PK17	ASPA
P45381	ASPA
Q5EA68	SEC61A1
P61621	Sec61a1
Q8NHV4	NEDD1
Q6AYF9	Irgc
Q7Z429	GRINA
Q5E9X1	NFYC
Q9BVS4	RIOK2
A4IHW3	slc35a4
Q9DGG6	ADCY9
Q14139	UBE4A
Q9BV94	EDEM2
Q5ZL77	RIC8A
Q6AY78	Slc22a18
B2ZHY2	GPR39
Q8VHE0	Sec63
P51796	Clcn5
Q9GKE7	CLCN5
Q9DC37	Mfsd1
Q1JQC1	MFSD1
Q9ULH0	KIDINS220
Q5ZHP3	CFAP20
Q13045	FLII
Q9JJ28	Flii
P23347	Slc4a2
Q9Z2N8	Actl6a
Q9W719	HPRT1
Q9DBG7	Srpra
Q3MHE8	SRPRA
Q9CQJ4	Rnf2
Q4KLY4	Rnf2
Q5E9B4	EIF2B2
Q7Z4S6	KIF21A
Q3SZ21	RPP30
P28331	NDUFS1
Q99LG2	Tnpo2
Q96A29	SLC35C1
Q6P8Y1	Capsl
Q01629	IFITM2
P26376	ifitm3
Q04584	ZYX
P21872	GART
Q96FL9	GALNT14
Q9XSZ4	SLC4A4
Q4U116	SLC4A4
O13134	SLC4A4
Q5ZLH0	NXT2
P63269	Actg2
Q6Q311	RPS25
Q9TRY9	GLB1
Q8MJJ7	DCPS
Q2KI04	SZRD1
Q7ZYQ0	foxi1e
Q7YRZ9	MCL1
Q641Q3	METRNL
A1L2K1	metrnl
Q14585	ZNF345
A8MQ14	ZNF850
Q2KIE2	HAX1
Q10751	ACE
O35400	Sult2b1
Q96JJ7	TMX3
P62902	Rpl31
Q08DZ3	ELMOD2
Q8BGF6	Elmod2
O14936	CASK
Q15057	ACAP2
Q9UJA9	ENPP5
Q08CX5	tbc1d24
A1A5K6	tbc1d24
Q0VBY7	DNAJC24
Q5ZKY4	ING4
Q5T1S8	NCMAP
P31944	CASP14
P14115	Rpl27a
P41239	CSK
Q6PCJ1	dctn1
Q9JIG8	Praf2
Q6UPE0	Chdh
O75897	SULT1C4
O15393	TMPRSS2
Q5E9N4	AADAT
A4Z6H1	ADSS2
P46664	Adss2
Q9NQX3	GPHN
P34191	mt-atp6
Q5E953	UFC1
Q3TQ03	Ciart
Q9BRR0	ZKSCAN3
Q9D032	Ssbp3
Q9CZT4	Polr3e
Q9BXB1	LGR4
P62083	Rps7
Q9EPH8	Pabpc1
P61255	Rpl26
P11369	Pol
P54726	Rad23a
A3KMV2	RAD23A
Q0VCM4	PYGL
P11216	PYGB
B6V8E6	CTNNB1
P35222	CTNNB1
P40429	RPL13A
Q5ZKE7	CMPK
Q4R6X7	USP16
Q9Y226	SLC22A13
Q9UJM3	ERRFI1
Q27968	DNAJC3
Q5ZI13	DNAJC3
Q9BY43	CHMP4A
Q9CW03	Smc3
Q5R4K5	SMC3
P21333	FLNA
Q2KJ25	PSMD12
Q8NFG4	FLCN
Q9Y265	RUVBL1
O60921	HUS1
P05094	ACTN1
Q3B7N2	ACTN1
Q5ZLP2	APIP
Q96LW9	ZSCAN31
O14709	ZNF197
Q5ZLK8	RCJMB04_5l6
P18848	ATF4
Q96MY7	FAM161B
O75478	TADA2A
Q3SZP8	TADA2A
Q9GK77	PLAUR
O75452	RDH16
Q9UM54	MYO6
Q63486	Rraga
Q5VUY2	AADACL4
O43148	RNMT
Q5U2U7	Rnmt
Q5BIM8	ERCC8
Q5ZM16	RBM22
Q9BSK2	SLC25A33
E2RQ08	RPN1
Q4R4T0	RPN1
P14373	TRIM27
Q80WW9	Ddrgk1
Q6UX07	DHRS13
Q5R866	KLHDC7A
Q5ZJN4	USP10
Q28653	PPP2R5D
Q99447	PCYT2
Q5ZMS6	TDRD3
O95757	HSPA4L
P60892	Prps1
Q5XG04	tmem82
A0PJX8	TMEM82
A0A087WSX0	IGLV5-45
A0A075B6I0	IGLV8-61
A0A0B4J1Y8	IGLV9-49
Q01459	CTBS
Q4R5U9	SNX7
P51553	IDH3G
Q5RCU5	CBR1
Q5ZLX2	EIF2S1
Q9NR34	MAN1C1
B1A8Z2	CIB1
Q99828	CIB1
Q6DIY8	mpv17l2
Q9GLG2	CAPN1
P06815	CAPN1
Q8VE10	Naa40
Q5XH16	snu13
Q8TC07	TBC1D15
P62747	Rhob
Q9UIV1	CNOT7
Q15118	PDK1
Q90999	TGFBR2
Q2NL37	BCCIP
O75964	ATP5MG
Q8BHA1	Lrrc24
Q5NVB9	ZDHHC13
P17790	BSG
Q4KM14	trnau1apl
Q5F3X4	EFTUD2
Q3SZI7	COG6
Q6J212	RNF114
Q9ET26	Rnf114
P04574	CAPNS1
Q0VDI3	TMEM267
Q8VEB2	Sav1
Q95MN6	PLP2
Q5EBL4	RILPL1
P11926	ODC1
Q4R7F0	RBMX
A5A6M3	RBMX
Q8BVQ5	Ppme1
P04233	CD74
Q61584	Fxr1
Q8BTY1	Kyat1
Q16773	KYAT1
Q5ZLM0	CDC73
Q31125	Slc39a7
Q8WWY3	PRPF31
Q92522	H1-10
O93510	GSN
Q9BTE6	AARSD1
P06909	Cfh
P08603	CFH
Q8WY07	SLC7A3
Q5BKS4	Eri2
Q5HZL1	eri2
Q32KL5	EMC8
Q9NXS2	QPCTL
Q90YA8	QPCT
Q3SZ27	APOL
Q8K419	Lgals4
Q9JMC3	Dnaja4
Q9D7P6	Iscu
Q6MG53	Ly6g5b
Q5ZMC6	GSKIP
Q9TSW0	TRIM15
Q5E951	TBCB
Q13485	SMAD4
F1P065	FARP1
P07514	CYB5R3
P83686	CYB5R3
Q59A28	CRYZL1
Q6IWH7	ANO7
Q9D3D9	Atp5f1d
B6YWH0	gyaR
Q5JEZ2	gyaR
Q2VJ60	RNF19A
Q6EMK4	VASN
Q5ZIA5	COPB1
Q6PAM1	Txlna
Q91W53	Golga7
A7LCJ3	SIGLEC1
P42338	PIK3CB
Q8BTI9	Pik3cb
P84100	Rpl19
P15153	RAC2
P79769	TSN
P80299	Ephx2
Q5RDN3	PSMF1
Q9QYM5	Rnd2
P52198	RND2
Q9BZE7	C22orf23
A1YER2	HTATIP2
Q94V92	MT-ND2
P36887	PRKACA
P17612	PRKACA
P81401	VIP
Q5ZI20	SLC39A13
O43617	TRAPPC3
Q9Z2R9	Eif2ak1
Q5ZIP6	OTUD6B
Q91WN3	Slc7a13
Q5RKI7	Slc7a13
Q92536	SLC7A6
P82251	SLC7A9
Q98932	RAB5C
Q9BTT6	LRRC1
Q0VC16	MIA3
Q5JRA6	MIA3
Q8VHQ9	Acot11
Q9D4Y8	Tmem269
A0A1B0GVZ9	TMEM269
Q9H1U9	SLC25A51
Q9N0J9	CD81
Q8IX15	HOMEZ
P55010	EIF5
Q07205	Eif5
Q6EE31	CCT8
Q6GMK8	gmppaa
Q7Z9I4	SPCC663.06c
P56812	Pdcd5
P24799	gnas
P53621	COPA
Q9Y6Q6	TNFRSF11A
Q9D8V7	Sec11c
Q58DL5	BCAR3
P10610	Cyp2g1
P00176	Cyp2b1
O43187	IRAK2
Q9D6J3	Yju2
Q9BW85	YJU2
Q9XSD9	DCN
Q9C0D3	ZYG11B
Q3UFS0	Zyg11b
Q5ZKA2	IARS2
O94903	PLPBP
Q08DG6	COX15
Q9NX08	COMMD8
Q6PA06	Atl2
Q4QQM4	Trp53i11
Q5R4V4	SARNP
Q8AWB6	SLC35B1
Q32L68	HMG20B
Q5ZMU6	PPP4R2
P61227	Rap2b
Q5ZKK5	ODF2
O02691	HSD17B10
Q96FF7	MISP3
O35740	Cited2
Q5NU32	MAOA
P58027	MAOA
Q96SM3	CPXM1
O54960	Nos1ap
P38606	ATP6V1A
P31404	ATP6V1A
Q6BBL6	CLDN4
Q78ZA7	Nap1l4
P07341	ALDOB
P17666	CYP2C14
P00180	CYP2C1
P00182	CYP2C3
P56656	Cyp2c39
O95081	AGFG2
Q13948	CUX1
Q5ZMS3	EIF2S3
Q9DEE9	ACTR6
P07630	CA2
Q9DCR2	Ap3s1
Q6P286	dhtkd1
A2ATU0	Dhtkd1
Q15836	VAMP3
Q8HXX4	HADHB
P55084	HADHB
P55036	PSMD4
Q0IIF2	EIF2B1
A6QLW8	SLC22A7
Q9Y694	SLC22A7
Q5R540	SLC22A7
Q8BH74	Nup107
P57740	NUP107
P09690	Chrnb1
Q5ZI72	HNRNPDL
Q9D844	Dnajc4
Q5ZL33	STRAP
Q28CQ4	ube2i
P18850	ATF6
O95251	KAT7
Q810T5	Kat7
A0A1B0GWB2	PRRT1B
Q9P2K3	RCOR3
H0YL14	TMEM250
Q64462	Cyp4b1
P15129	Cyp4b1
Q96EE3	SEH1L
A7RDN6	Rnls
Q5VYX0	RNLS
Q5U2Q7	Etf1
P00378	DHFR
Q2KIS3	UBL7
Q25C36	OLFML3
Q08334	IL10RB
Q61190	Il10rb
P33241	LSP1
O35054	Cldn4
O95484	CLDN9
Q8C142	Ldlrap1
Q801G1	ldlrap1-a
Q99P58	Rab27b
O00194	RAB27B
P56389	Cda
Q8BVY0	Rsl1d1
P07948	LYN
P23935	NDUFA5
P62142	Ppp1cb
Q7SXN5	dnm1l
Q8JZM2	Prr15l
P30218	hsp30c
Q6P1N0	CC2D1A
Q16644	MAPKAPK3
Q501R9	Nbr1
P97432	Nbr1
Q71RG4	TMUB2
P15429	Eno3
P38484	IFNGR2
Q9R0Q3	Tmed2
P49020	TMED2
Q6P9F7	LRRC8B
Q9QXY9	Pex3
Q60HE1	PEX3
A6H7C2	PEX3
O94985	CLSTN1
Q68CJ9	CREB3L3
Q3SYZ3	CREB3L3
Q05186	Rcn1
Q3TCJ1	Abraxas2
Q16401	PSMD5
Q5SYE7	NHSL1
Q96HI0	SENP5
Q99M87	Dnaja3
Q08DA8	ATF1
Q7TPN9	Prr14
Q5ZMG1	UFL1
Q9D2V8	Mfsd10
Q9UFF9	CNOT8
P78536	ADAM17
Q4QQV3	Fam162a
A3KP48	fam162b
Q9CR24	Nudt8
Q9Y3Q0	NAALAD2
Q9CZN7	Shmt2
Q2KIK3	SMIM14
P40618	HMGB3
P07193	tp53
Q5F3T9	UGDH
Q92747	ARPC1A
Q9R0Q6	Arpc1a
A2BD05	NEK6
P08642	HRAS
P60670	Nploc4
Q5R439	HDLBP
Q8VDJ3	Hdlbp
Q9UMZ2	SYNRG
P49416	SDC4
Q9BT43	POLR3GL
Q29RI9	MAT2B
O14548	COX7A2L
Q96MG7	NSMCE3
Q63624	Scaf1
Q5U4C3	Scaf1
Q96SZ6	CDK5RAP1
Q60HC8	UCHL1
Q12979	ABR
